,Phase,T1,T2,H(298),f1,f2,f3,f4,f5,f6,f7,mu,sigma,epsil,Comment
AlCl,g,298.15,3000.0,-51032.0,318.9948,36.946259999999995,-0.001226431,1.1881743,5.638541,-5.066135,5.219347,62.4345,3.58,932.0,"1,2"
AlCl2,g,298.15,3000.0,-259000.0,427.2137,56.56409,-0.002961273,1.8938419999999998,12.40072,-22.654410000000002,21.29898,97.8875,5.3,825.0,"1,2,55"
AlCl3,g,298.15,3000.0,-584100.0,511.8114,81.15042,-0.004834879,2.752097,13.40078,-21.28001,16.92868,133.3405,5.13,472.0,"1,2"
GaCl,g,298.15,3000.0,-70553.0,332.2718,37.11052,-0.0007461869999999999,1.1606511999999998,4.8913459999999995,-4.4675910000000005,5.506236,105.17299999999999,3.696,348.2,1
GaCl2,g,298.15,3000.0,-241238.0,443.2976,57.745844999999996,-0.002265112,1.8755544999999998,3.66186,-9.356338000000001,15.88245,140.626,4.293,465.0,1
GaCl3,g,298.15,3000.0,-431573.0,526.8113,82.03355,-0.003486473,2.6855922999999997,8.278878,-14.5678,12.8899,176.08,5.034,548.24,1
NH3,g,298.15,3000.0,-45940.0,231.1183,20.52222,0.0007162510000000001,0.7677236,244.6296,-251.69,146.6947,17.031,3.0,300.0,"26,1"
H2,g,298.15,3000.0,0.0,205.5368,29.50487,0.00016842400000000003,0.86065612,-14.953120000000002,78.18955,-82.78981,2.016,2.93,34.1,"4,1"
HCl,g,298.15,3000.0,-92310.0,243.9878,23.15984,0.001819985,0.6147384,51.16604,-36.89502,9.174252000000001,36.461,2.737,167.1,1
N2,g,298.15,3000.0,0.0,242.8156,21.47467,0.001748786,0.5910039,81.08497,-103.6265,71.30775,28.0135,3.798,71.4,1
Al,s,298.15,933.61,0.0,172.8289,50.51806,-0.00411847,1.476107,-458.1279,2105.75,-4168.337,26.9815,,,1
Ga,l,302.92,2000.0,0.0,125.9597,26.03107,0.001178297,0.13976,-0.5698425,0.04723008,7.212525,69.723,,,"1,100"
AlN,s,298.15,3000.0,-319000.0,123.1132,44.980920000000005,-0.00734504,1.86107,31.396259999999998,-49.92139,81.22038,40.988,,,2
GaN,s,298.15,2000.0,-114000.0,160.2647,52.86351,-0.00799055,2.1133889999999997,1.313428,-2.441129,1.945731,83.73,,,2
